scope,dataset,system,system_display,input_rows,successful_rows,failed_rows,provider_failure_examples,answer_calls_total,answer_calls_per_input_example,input_tokens_per_example,output_tokens_per_example,total_tokens_per_example,cost_total_usd,usd_per_example,cost_coverage,latency_median_ms,latency_p95_ms,latency_available_successful_examples,latency_denominator_successful_examples,status_counts,missingness
by_dataset,finqa,direct,Direct,50,50,0,0,50,1.0,1171.74,8.06,1179.8,0.018397764,0.00036795528,1.0,847.1872704976704,1446.9719938995688,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,finqa,cot,CoT/PoT,50,50,0,0,50,1.0,1187.74,247.4,1435.14,0.048253689,0.00096507378,1.0,1981.8673750014568,3097.7126792018676,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,finqa,nexus,Static Nexus,50,50,0,0,50,1.0,3022.12,125.56,3147.68,0.058505337,0.00117010674,1.0,1378.9950414975465,3430.656675148929,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,finqa,react,ReAct,50,50,0,0,138,2.76,2654.52,289.92,2944.44,0.075297222,0.00150594444,1.0,3459.1209374993923,6619.464931948822,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,finqa,selective,Selective Nexus,50,50,0,0,93,1.86,2941.46,212.64,3154.1,0.0689018913,0.0013780378259999999,1.0,2598.86841649859,6259.306321597244,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 0}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,tatqa,direct,Direct,50,50,0,0,50,1.0,659.14,16.18,675.32,0.011790504,0.00023581008,1.0,842.924562497501,1188.3855083957314,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,tatqa,cot,CoT/PoT,50,50,0,0,50,1.0,675.14,148.46,823.6,0.028397754,0.00056795508,1.0,1412.5589999966905,2193.4671418519424,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,tatqa,nexus,Static Nexus,50,50,0,0,50,1.0,1719.68,69.06,1788.74,0.034083423,0.00068166846,1.0,1070.101582998177,1700.9043456473592,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,tatqa,react,ReAct,50,50,0,0,146,2.92,1603.62,235.6,1839.22,0.052969257,0.00105938514,1.0,3460.9166464979353,5910.616970794215,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 50}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
by_dataset,tatqa,selective,Selective Nexus,50,50,0,0,114,2.28,1538.76,179.08,1717.84,0.045011736,0.00090023472,1.0,3080.297062500904,4881.987083704371,50,50,"{""success"": 50}","{""estimated_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""input_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""latency_ms"": {""denominator"": 50, ""missing_examples"": 0}, ""llm_call_count"": {""denominator"": 50, ""missing_examples"": 0}, ""output_tokens"": {""denominator"": 50, ""missing_examples"": 0}, ""provider_cost_usd"": {""denominator"": 50, ""missing_examples"": 0}, ""resolved_model"": {""denominator"": 50, ""missing_examples"": 0}, ""route_selected"": {""denominator"": 50, ""missing_examples"": 0}, ""total_tokens"": {""denominator"": 50, ""missing_examples"": 0}}"
